Start Read Seconds;Start Read Milliseconds;End Read Seconds;End Read Milliseconds;Difference
1468102562;590;1468102562;592;2
1468102562;593;1468102562;595;1
1468102562;596;1468102562;597;1
1468102562;598;1468102562;600;1
1468102562;601;1468102562;603;1
1468102562;603;1468102562;605;1
1468102562;606;1468102562;607;1
1468102562;608;1468102562;610;2
1468102562;611;1468102562;613;1
1468102562;614;1468102562;615;1
1468102562;616;1468102562;618;1
1468102562;619;1468102562;621;1
1468102562;621;1468102562;623;1
1468102562;624;1468102562;626;1
1468102562;627;1468102562;629;2
1468102562;629;1468102562;631;1
1468102562;632;1468102562;634;1
1468102562;634;1468102562;636;1
1468102562;637;1468102562;639;1
1468102562;640;1468102562;641;1
1468102562;642;1468102562;644;1
1468102562;645;1468102562;646;1
1468102562;647;1468102562;649;1
1468102562;650;1468102562;652;1
1468102562;652;1468102562;654;1
1468102562;655;1468102562;657;1
1468102562;657;1468102562;659;1
1468102562;660;1468102562;662;1
1468102562;663;1468102562;664;1
1468102562;665;1468102562;667;1
1468102562;668;1468102562;670;1
1468102562;670;1468102562;672;1
1468102562;673;1468102562;675;1
1468102562;676;1468102562;677;1
1468102562;678;1468102562;680;1
1468102562;681;1468102562;682;1
1468102562;683;1468102562;685;1
1468102562;686;1468102562;688;1
1468102562;688;1468102562;690;1
1468102562;691;1468102562;693;1
1468102562;694;1468102562;695;1
1468102562;696;1468102562;698;1
1468102562;699;1468102562;701;1
1468102562;701;1468102562;703;1
1468102562;704;1468102562;706;1
1468102562;707;1468102562;709;1
1468102562;709;1468102562;711;1
1468102562;712;1468102562;714;1
1468102562;714;1468102562;716;1
1468102562;717;1468102562;719;1
1468102562;720;1468102562;721;1
1468102562;722;1468102562;724;1
1468102562;725;1468102562;726;1
1468102562;727;1468102562;729;1
1468102562;730;1468102562;732;1
1468102562;732;1468102562;734;1
1468102562;735;1468102562;737;1
1468102562;737;1468102562;739;1
1468102562;740;1468102562;742;1
1468102562;742;1468102562;744;1
1468102562;745;1468102562;747;1
1468102562;748;1468102562;749;1
1468102562;750;1468102562;752;1
1468102562;753;1468102562;754;1
1468102562;755;1468102562;757;1
1468102562;758;1468102562;759;1
1468102562;760;1468102562;762;1
1468102562;763;1468102562;765;1
1468102562;765;1468102562;767;1
1468102562;768;1468102562;770;1
1468102562;770;1468102562;772;1
1468102562;773;1468102562;775;1
1468102562;775;1468102562;777;1
1468102562;778;1468102562;780;2
1468102562;781;1468102562;782;1
1468102562;783;1468102562;785;1
1468102562;786;1468102562;787;1
1468102562;788;1468102562;790;1
1468102562;791;1468102562;793;1
1468102562;794;1468102562;795;1
1468102562;796;1468102562;798;1
1468102562;799;1468102562;801;1
1468102562;801;1468102562;803;1
1468102562;804;1468102562;806;1
1468102562;807;1468102562;809;1
1468102562;809;1468102562;811;1
1468102562;812;1468102562;814;1
1468102562;814;1468102562;816;1
1468102562;817;1468102562;819;1
1468102562;820;1468102562;821;1
1468102562;822;1468102562;824;1
1468102562;825;1468102562;827;1
1468102562;827;1468102562;829;1
1468102562;830;1468102562;832;1
1468102562;832;1468102562;834;1
1468102562;835;1468102562;836;1
1468102562;837;1468102562;839;1
1468102562;840;1468102562;842;1
1468102562;842;1468102562;844;1
1468102562;845;1468102562;847;1
1468102562;847;1468102562;849;1
1468102562;850;1468102562;852;1
1468102562;853;1468102562;854;1
1468102562;855;1468102562;857;1
1468102562;858;1468102562;860;1
1468102562;860;1468102562;862;1
1468102562;863;1468102562;865;1
1468102562;866;1468102562;867;1
1468102562;868;1468102562;870;1
1468102562;871;1468102562;872;1
1468102562;873;1468102562;875;1
1468102562;876;1468102562;878;1
1468102562;878;1468102562;880;1
1468102562;881;1468102562;883;1
1468102562;884;1468102562;885;1
1468102562;886;1468102562;888;1
1468102562;889;1468102562;891;1
1468102562;892;1468102562;893;1
1468102562;894;1468102562;896;1
1468102562;897;1468102562;899;2
1468102562;899;1468102562;901;1
1468102562;902;1468102562;904;1
1468102562;905;1468102562;907;1
1468102562;908;1468102562;910;1
1468102562;910;1468102562;912;1
1468102562;913;1468102562;915;1
1468102562;916;1468102562;917;1
1468102562;918;1468102562;920;1
1468102562;921;1468102562;922;1
1468102562;923;1468102562;925;1
1468102562;926;1468102562;928;1
1468102562;929;1468102562;930;1
1468102562;931;1468102562;933;1
1468102562;934;1468102562;935;1
1468102562;936;1468102562;938;1
1468102562;939;1468102562;941;1
1468102562;941;1468102562;943;1
1468102562;944;1468102562;946;1
1468102562;947;1468102562;949;2
1468102562;949;1468102562;951;1
1468102562;952;1468102562;954;1
1468102562;955;1468102562;956;1
1468102562;957;1468102562;959;1
1468102562;960;1468102562;961;1
1468102562;962;1468102562;964;1
1468102562;965;1468102562;966;1
1468102562;967;1468102562;969;1
1468102562;970;1468102562;971;1
1468102562;972;1468102562;974;1
1468102562;975;1468102562;977;1
1468102562;977;1468102562;979;1
1468102562;980;1468102562;982;1
1468102562;982;1468102562;984;1
1468102562;985;1468102562;987;1
1468102562;987;1468102562;989;1
1468102562;990;1468102562;992;1
1468102562;993;1468102562;994;1
1468102562;995;1468102562;997;1
1468102562;998;1468102563;0;2
1468102563;0;1468102563;2;1
1468102563;3;1468102563;5;1
1468102563;6;1468102563;7;1
1468102563;8;1468102563;10;1
1468102563;11;1468102563;12;1
1468102563;13;1468102563;15;1
1468102563;16;1468102563;18;1
1468102563;18;1468102563;20;1
1468102563;21;1468102563;23;1
1468102563;24;1468102563;25;1
1468102563;26;1468102563;28;1
1468102563;29;1468102563;31;1
1468102563;31;1468102563;33;1
1468102563;34;1468102563;36;1
1468102563;37;1468102563;38;1
1468102563;39;1468102563;41;1
1468102563;42;1468102563;44;1
1468102563;44;1468102563;46;1
1468102563;47;1468102563;49;1
1468102563;50;1468102563;51;1
1468102563;52;1468102563;54;1
1468102563;55;1468102563;56;1
1468102563;57;1468102563;59;1
1468102563;60;1468102563;62;1
1468102563;62;1468102563;64;1
1468102563;65;1468102563;67;1
1468102563;67;1468102563;69;1
1468102563;70;1468102563;72;1
1468102563;73;1468102563;74;1
1468102563;75;1468102563;77;1
1468102563;78;1468102563;80;1
1468102563;80;1468102563;82;1
1468102563;83;1468102563;85;1
1468102563;85;1468102563;87;1
1468102563;88;1468102563;90;1
1468102563;91;1468102563;92;1
1468102563;93;1468102563;95;1
1468102563;96;1468102563;97;1
1468102563;98;1468102563;100;1
1468102563;101;1468102563;103;1
1468102563;104;1468102563;105;1
1468102563;106;1468102563;108;1
1468102563;109;1468102563;111;1
1468102563;111;1468102563;113;1
1468102563;114;1468102563;116;1
1468102563;116;1468102563;118;1
1468102563;119;1468102563;121;1
