Getting Data Stream Seconds; Getting Data Stream Milliseconds;Send Data Stream Seconds;Send Data Stream Milliseconds;Difference Stream;
1468114840;529;1468114840;538;8;
1468114840;564;1468114840;568;3;
1468114840;594;1468114840;598;3;
1468114840;624;1468114840;628;3;
1468114840;654;1468114840;658;3;
1468114840;684;1468114840;688;3;
1468114840;714;1468114840;718;3;
1468114840;744;1468114840;747;3;
1468114840;773;1468114840;777;3;
1468114840;803;1468114840;807;3;
1468114840;833;1468114840;836;3;
1468114840;862;1468114840;866;3;
1468114840;892;1468114840;896;3;
1468114840;922;1468114840;926;3;
1468114840;952;1468114840;956;3;
1468114840;982;1468114840;986;3;
1468114841;12;1468114841;15;3;
1468114841;42;1468114841;45;3;
1468114841;71;1468114841;75;3;
1468114841;101;1468114841;105;3;
1468114841;131;1468114841;134;3;
1468114841;161;1468114841;164;3;
1468114841;190;1468114841;194;3;
1468114841;220;1468114841;223;3;
1468114841;250;1468114841;253;3;
1468114841;279;1468114841;283;3;
1468114841;309;1468114841;313;3;
1468114841;339;1468114841;342;3;
1468114841;368;1468114841;372;3;
1468114841;398;1468114841;401;3;
1468114841;427;1468114841;431;3;
1468114841;457;1468114841;461;3;
1468114841;487;1468114841;490;3;
1468114841;516;1468114841;520;3;
1468114841;546;1468114841;549;3;
1468114841;575;1468114841;579;3;
1468114841;605;1468114841;609;3;
1468114841;635;1468114841;639;3;
1468114841;665;1468114841;668;3;
1468114841;694;1468114841;698;3;
1468114841;724;1468114841;728;3;
1468114841;754;1468114841;758;3;
1468114841;784;1468114841;788;3;
1468114841;814;1468114841;817;3;
1468114841;844;1468114841;847;3;
1468114841;881;1468114841;884;3;
1468114841;910;1468114841;913;3;
1468114841;940;1468114841;943;3;
1468114841;969;1468114841;973;3;
1468114841;999;1468114842;2;4;
1468114842;28;1468114842;32;3;
1468114842;58;1468114842;62;3;
1468114842;88;1468114842;91;3;
1468114842;117;1468114842;121;3;
1468114842;147;1468114842;150;3;
1468114842;176;1468114842;180;3;
1468114842;206;1468114842;210;3;
1468114842;236;1468114842;239;3;
1468114842;265;1468114842;269;3;
1468114842;295;1468114842;298;3;
1468114842;325;1468114842;328;3;
1468114842;354;1468114842;358;3;
1468114842;384;1468114842;388;3;
1468114842;414;1468114842;418;3;
1468114842;444;1468114842;448;3;
1468114842;474;1468114842;477;3;
1468114842;504;1468114842;507;3;
1468114842;534;1468114842;537;3;
1468114842;563;1468114842;567;3;
1468114842;593;1468114842;597;3;
1468114842;623;1468114842;626;3;
1468114842;652;1468114842;656;3;
1468114842;682;1468114842;686;3;
1468114842;712;1468114842;716;3;
1468114842;742;1468114842;746;3;
1468114842;772;1468114842;776;3;
1468114842;802;1468114842;805;3;
1468114842;832;1468114842;835;3;
1468114842;861;1468114842;865;3;
1468114842;891;1468114842;895;3;
1468114842;921;1468114842;924;3;
1468114842;951;1468114842;955;3;
1468114842;989;1468114842;993;3;
1468114843;19;1468114843;22;3;
1468114843;48;1468114843;52;3;
1468114843;78;1468114843;81;3;
1468114843;108;1468114843;111;3;
1468114843;137;1468114843;141;3;
1468114843;167;1468114843;170;3;
1468114843;196;1468114843;200;3;
1468114843;226;1468114843;229;3;
1468114843;255;1468114843;259;3;
1468114843;285;1468114843;289;3;
1468114843;315;1468114843;318;3;
1468114843;345;1468114843;348;3;
1468114843;374;1468114843;378;3;
1468114843;404;1468114843;408;3;
1468114843;434;1468114843;438;3;
1468114843;464;1468114843;468;3;
1468114843;494;1468114843;497;3;
1468114843;523;1468114843;527;3;
1468114843;553;1468114843;557;3;
1468114843;583;1468114843;586;3;
1468114843;612;1468114843;616;3;
1468114843;642;1468114843;646;3;
1468114843;672;1468114843;676;3;
1468114843;702;1468114843;706;3;
1468114843;732;1468114843;736;3;
1468114843;762;1468114843;765;3;
1468114843;791;1468114843;795;3;
1468114843;821;1468114843;825;3;
1468114843;851;1468114843;855;3;
1468114843;881;1468114843;884;3;
1468114843;911;1468114843;914;3;
1468114843;940;1468114843;944;3;
1468114843;970;1468114843;973;3;
1468114843;999;1468114844;3;4;
