Getting Data Stream Seconds; Getting Data Stream Milliseconds;Send Data Stream Seconds;Send Data Stream Milliseconds;Difference Stream;
1468114998;429;1468114998;448;19;
1468114998;474;1468114998;489;14;
1468114998;515;1468114998;528;13;
1468114998;554;1468114998;568;13;
1468114998;594;1468114998;608;13;
1468114998;634;1468114998;648;13;
1468114998;674;1468114998;688;13;
1468114998;714;1468114998;728;14;
1468114998;754;1468114998;768;13;
1468114998;794;1468114998;808;13;
1468114998;834;1468114998;848;13;
1468114998;874;1468114998;888;13;
1468114998;914;1468114998;928;14;
1468114998;954;1468114998;968;13;
1468114998;994;1468114999;8;14;
1468114999;34;1468114999;48;13;
1468114999;74;1468114999;88;13;
1468114999;114;1468114999;128;14;
1468114999;154;1468114999;168;13;
1468114999;194;1468114999;208;13;
1468114999;234;1468114999;248;13;
1468114999;274;1468114999;288;13;
1468114999;314;1468114999;328;13;
1468114999;354;1468114999;368;13;
1468114999;394;1468114999;408;13;
1468114999;434;1468114999;448;13;
1468114999;474;1468114999;488;13;
1468114999;514;1468114999;527;13;
1468114999;554;1468114999;568;14;
1468114999;594;1468114999;608;13;
1468114999;634;1468114999;648;13;
1468114999;674;1468114999;688;13;
1468114999;714;1468114999;728;14;
1468114999;754;1468114999;768;13;
1468114999;794;1468114999;808;13;
1468114999;834;1468114999;848;13;
1468114999;874;1468114999;888;13;
1468114999;914;1468114999;928;14;
1468114999;954;1468114999;968;13;
1468114999;994;1468115000;8;14;
1468115000;34;1468115000;48;13;
1468115000;74;1468115000;88;13;
1468115000;114;1468115000;128;14;
1468115000;154;1468115000;168;13;
1468115000;194;1468115000;208;13;
1468115000;234;1468115000;248;13;
1468115000;274;1468115000;288;13;
1468115000;314;1468115000;328;13;
1468115000;354;1468115000;368;13;
1468115000;394;1468115000;408;13;
1468115000;434;1468115000;447;13;
1468115000;473;1468115000;488;14;
1468115000;514;1468115000;528;14;
1468115000;554;1468115000;569;14;
1468115000;595;1468115000;608;13;
1468115000;634;1468115000;648;13;
1468115000;674;1468115000;688;13;
1468115000;714;1468115000;727;13;
1468115000;754;1468115000;768;14;
1468115000;794;1468115000;808;13;
1468115000;834;1468115000;847;13;
1468115000;873;1468115000;888;14;
1468115000;914;1468115000;928;14;
1468115000;954;1468115000;968;13;
1468115000;994;1468115001;8;14;
1468115001;34;1468115001;48;13;
1468115001;74;1468115001;88;13;
1468115001;114;1468115001;128;14;
1468115001;154;1468115001;168;13;
1468115001;194;1468115001;208;13;
1468115001;234;1468115001;248;13;
1468115001;274;1468115001;288;13;
1468115001;314;1468115001;328;13;
1468115001;354;1468115001;368;13;
1468115001;394;1468115001;408;13;
1468115001;434;1468115001;448;13;
1468115001;474;1468115001;488;13;
1468115001;514;1468115001;528;13;
1468115001;554;1468115001;568;13;
1468115001;594;1468115001;608;13;
1468115001;634;1468115001;648;13;
1468115001;674;1468115001;688;13;
1468115001;714;1468115001;728;14;
1468115001;754;1468115001;768;13;
1468115001;794;1468115001;808;13;
1468115001;834;1468115001;848;13;
1468115001;874;1468115001;888;13;
1468115001;914;1468115001;928;14;
1468115001;954;1468115001;968;13;
1468115001;994;1468115002;8;14;
1468115002;34;1468115002;48;13;
1468115002;74;1468115002;88;13;
1468115002;114;1468115002;128;14;
1468115002;154;1468115002;168;13;
1468115002;194;1468115002;208;13;
1468115002;234;1468115002;248;13;
1468115002;274;1468115002;288;13;
1468115002;314;1468115002;328;13;
1468115002;354;1468115002;368;13;
1468115002;394;1468115002;408;13;
1468115002;434;1468115002;448;13;
1468115002;474;1468115002;488;13;
1468115002;514;1468115002;528;14;
1468115002;554;1468115002;568;13;
1468115002;594;1468115002;609;14;
1468115002;635;1468115002;648;13;
1468115002;674;1468115002;688;13;
1468115002;714;1468115002;728;14;
1468115002;754;1468115002;768;13;
1468115002;794;1468115002;808;13;
1468115002;834;1468115002;848;13;
1468115002;874;1468115002;888;13;
1468115002;914;1468115002;928;13;
1468115002;954;1468115002;968;13;
1468115002;994;1468115003;8;14;
1468115003;34;1468115003;48;13;
1468115003;74;1468115003;88;13;
1468115003;114;1468115003;128;14;
1468115003;155;1468115003;168;13;
1468115003;194;1468115003;208;13;
1468115003;234;1468115003;248;13;
1468115003;274;1468115003;288;13;
1468115003;314;1468115003;328;14;
1468115003;354;1468115003;368;13;
1468115003;394;1468115003;408;13;
1468115003;434;1468115003;448;13;
1468115003;474;1468115003;488;13;
1468115003;514;1468115003;528;14;
1468115003;554;1468115003;568;13;
1468115003;594;1468115003;608;13;
1468115003;634;1468115003;648;13;
1468115003;674;1468115003;688;13;
1468115003;714;1468115003;728;14;
1468115003;754;1468115003;768;13;
1468115003;794;1468115003;809;14;
1468115003;835;1468115003;848;13;
1468115003;874;1468115003;888;13;
1468115003;914;1468115003;928;14;
1468115003;954;1468115003;988;33;
1468115004;14;1468115004;28;14;
1468115004;54;1468115004;68;13;
1468115004;94;1468115004;108;13;
1468115004;134;1468115004;148;13;
1468115004;174;1468115004;188;13;
1468115004;214;1468115004;228;13;
1468115004;254;1468115004;268;13;
1468115004;294;1468115004;308;13;
1468115004;334;1468115004;348;13;
1468115004;374;1468115004;388;13;
1468115004;414;1468115004;428;14;
1468115004;454;1468115004;468;13;
1468115004;494;1468115004;508;13;
1468115004;534;1468115004;548;13;
1468115004;574;1468115004;588;13;
1468115004;614;1468115004;628;13;
1468115004;654;1468115004;668;13;
1468115004;694;1468115004;708;13;
1468115004;734;1468115004;748;13;
1468115004;774;1468115004;788;13;
1468115004;814;1468115004;828;14;
1468115004;854;1468115004;868;13;
1468115004;894;1468115004;908;13;
1468115004;934;1468115004;948;14;
1468115004;975;1468115004;988;13;
1468115005;14;1468115005;28;14;
1468115005;54;1468115005;68;13;
1468115005;94;1468115005;108;13;
1468115005;134;1468115005;148;13;
1468115005;174;1468115005;188;13;
1468115005;214;1468115005;228;14;
1468115005;254;1468115005;268;13;
1468115005;294;1468115005;308;13;
1468115005;334;1468115005;348;13;
1468115005;374;1468115005;388;13;
1468115005;414;1468115005;428;13;
1468115005;454;1468115005;468;13;
1468115005;494;1468115005;508;13;
1468115005;534;1468115005;548;13;
1468115005;574;1468115005;588;13;
1468115005;614;1468115005;628;14;
1468115005;654;1468115005;668;13;
1468115005;694;1468115005;708;13;
1468115005;734;1468115005;748;13;
1468115005;774;1468115005;788;13;
1468115005;814;1468115005;828;14;
1468115005;854;1468115005;868;13;
1468115005;894;1468115005;908;13;
1468115005;934;1468115005;948;13;
1468115005;974;1468115005;988;13;
1468115006;14;1468115006;28;14;
1468115006;54;1468115006;68;13;
1468115006;94;1468115006;108;13;
1468115006;134;1468115006;148;13;
1468115006;174;1468115006;188;13;
1468115006;214;1468115006;228;14;
1468115006;254;1468115006;268;13;
1468115006;294;1468115006;308;13;
1468115006;334;1468115006;348;13;
1468115006;374;1468115006;388;13;
1468115006;414;1468115006;428;14;
1468115006;454;1468115006;468;13;
1468115006;494;1468115006;508;13;
1468115006;534;1468115006;548;13;
1468115006;574;1468115006;588;13;
1468115006;614;1468115006;628;14;
1468115006;654;1468115006;668;13;
1468115006;694;1468115006;708;13;
1468115006;734;1468115006;748;13;
1468115006;774;1468115006;788;13;
1468115006;814;1468115006;828;13;
1468115006;854;1468115006;868;13;
1468115006;894;1468115006;909;14;
1468115006;935;1468115006;949;14;
1468115006;975;1468115006;989;13;
1468115007;15;1468115007;28;13;
1468115007;54;1468115007;69;14;
1468115007;95;1468115007;108;13;
1468115007;134;1468115007;148;13;
1468115007;174;1468115007;189;14;
1468115007;215;1468115007;228;13;
1468115007;254;1468115007;269;14;
1468115007;295;1468115007;309;13;
1468115007;335;1468115007;348;13;
1468115007;374;1468115007;388;13;
1468115007;414;1468115007;428;14;
1468115007;454;1468115007;469;14;
1468115007;495;1468115007;509;13;
1468115007;535;1468115007;548;13;
1468115007;574;1468115007;588;13;
1468115007;614;1468115007;628;14;
1468115007;654;1468115007;669;14;
1468115007;695;1468115007;709;13;
1468115007;735;1468115007;748;13;
1468115007;774;1468115007;788;13;
1468115007;814;1468115007;828;14;
1468115007;854;1468115007;869;14;
1468115007;895;1468115007;909;13;
1468115007;935;1468115007;948;13;
1468115007;974;1468115007;988;13;
1468115008;15;1468115008;28;13;
1468115008;54;1468115008;69;14;
1468115008;95;1468115008;109;13;
