Period in ms;Seconds;Milliseconds;
50;1468102221;237;
50;1468102221;287;
50;1468102221;337;
50;1468102221;387;
50;1468102221;437;
50;1468102221;487;
50;1468102221;537;
50;1468102221;587;
50;1468102221;637;
50;1468102221;687;
50;1468102221;737;
50;1468102221;787;
50;1468102221;837;
50;1468102221;887;
50;1468102221;937;
50;1468102221;987;
50;1468102222;37;
50;1468102222;87;
50;1468102222;137;
50;1468102222;187;
50;1468102222;237;
50;1468102222;287;
50;1468102222;337;
50;1468102222;387;
50;1468102222;437;
50;1468102222;487;
50;1468102222;537;
50;1468102222;587;
50;1468102222;637;
50;1468102222;687;
50;1468102222;737;
50;1468102222;787;
50;1468102222;837;
50;1468102222;887;
50;1468102222;937;
50;1468102222;987;
50;1468102223;37;
50;1468102223;87;
50;1468102223;137;
50;1468102223;187;
50;1468102223;237;
50;1468102223;287;
50;1468102223;337;
50;1468102223;387;
50;1468102223;437;
50;1468102223;487;
50;1468102223;537;
50;1468102223;587;
50;1468102223;637;
50;1468102223;687;
50;1468102223;737;
50;1468102223;787;
50;1468102223;837;
50;1468102223;887;
50;1468102223;937;
50;1468102223;987;
50;1468102224;37;
50;1468102224;87;
50;1468102224;137;
50;1468102224;187;
50;1468102224;237;
50;1468102224;287;
50;1468102224;337;
50;1468102224;387;
50;1468102224;437;
50;1468102224;487;
50;1468102224;537;
50;1468102224;595;
50;1468102224;637;
50;1468102224;687;
50;1468102224;737;
50;1468102224;787;
50;1468102224;837;
50;1468102224;887;
50;1468102224;937;
50;1468102224;987;
50;1468102225;37;
50;1468102225;87;
50;1468102225;137;
50;1468102225;187;
50;1468102225;237;
50;1468102225;287;
50;1468102225;337;
50;1468102225;387;
50;1468102225;437;
50;1468102225;487;
50;1468102225;537;
50;1468102225;587;
50;1468102225;637;
50;1468102225;687;
50;1468102225;737;
50;1468102225;787;
50;1468102225;837;
50;1468102225;887;
50;1468102225;937;
50;1468102225;987;
50;1468102226;37;
50;1468102226;87;
50;1468102226;137;
50;1468102226;187;
50;1468102226;237;
50;1468102226;287;
50;1468102226;337;
50;1468102226;387;
50;1468102226;437;
50;1468102226;487;
50;1468102226;537;
50;1468102226;587;
50;1468102226;637;
50;1468102226;687;
50;1468102226;737;
50;1468102226;787;
50;1468102226;837;
50;1468102226;887;
50;1468102226;937;
50;1468102226;987;
50;1468102227;37;
50;1468102227;87;
50;1468102227;137;
50;1468102227;187;
50;1468102227;237;
50;1468102227;287;
50;1468102227;337;
50;1468102227;387;
50;1468102227;437;
50;1468102227;487;
50;1468102227;537;
50;1468102227;587;
50;1468102227;637;
50;1468102227;687;
50;1468102227;737;
50;1468102227;787;
50;1468102227;837;
50;1468102227;887;
50;1468102227;937;
50;1468102227;987;
50;1468102228;37;
50;1468102228;87;
50;1468102228;137;
50;1468102228;187;
50;1468102228;237;
50;1468102228;287;
50;1468102228;337;
50;1468102228;387;
50;1468102228;437;
50;1468102228;487;
50;1468102228;537;
50;1468102228;587;
50;1468102228;637;
50;1468102228;687;
50;1468102228;737;
50;1468102228;787;
50;1468102228;837;
50;1468102228;887;
50;1468102228;937;
50;1468102228;987;
50;1468102229;37;
50;1468102229;87;
50;1468102229;137;
50;1468102229;187;
50;1468102229;237;
50;1468102229;287;
50;1468102229;337;
50;1468102229;387;
50;1468102229;437;
50;1468102229;487;
50;1468102229;537;
50;1468102229;587;
50;1468102229;637;
50;1468102229;687;
50;1468102229;737;
50;1468102229;787;
50;1468102229;837;
50;1468102229;887;
50;1468102229;937;
50;1468102229;987;
50;1468102230;37;
50;1468102230;87;
50;1468102230;137;
50;1468102230;187;
50;1468102230;237;
50;1468102230;287;
50;1468102230;337;
50;1468102230;387;
50;1468102230;437;
50;1468102230;487;
50;1468102230;537;
50;1468102230;587;
50;1468102230;637;
50;1468102230;687;
50;1468102230;737;
50;1468102230;787;
50;1468102230;837;
50;1468102230;887;
50;1468102230;937;
50;1468102230;987;
50;1468102231;37;
50;1468102231;87;
50;1468102231;137;
50;1468102231;187;
50;1468102231;237;
50;1468102231;287;
50;1468102231;337;
50;1468102231;387;
50;1468102231;437;
50;1468102231;487;
50;1468102231;537;
50;1468102231;587;
50;1468102231;637;
50;1468102231;687;
50;1468102231;737;
50;1468102231;787;
50;1468102231;837;
50;1468102231;887;
50;1468102231;937;
50;1468102231;987;
50;1468102232;37;
50;1468102232;87;
50;1468102232;137;
50;1468102232;187;
50;1468102232;237;
50;1468102232;287;
50;1468102232;337;
50;1468102232;387;
50;1468102232;437;
50;1468102232;487;
50;1468102232;537;
50;1468102232;587;
50;1468102232;637;
50;1468102232;687;
50;1468102232;737;
50;1468102232;787;
50;1468102232;837;
50;1468102232;887;
50;1468102232;937;
50;1468102232;987;
50;1468102233;37;
50;1468102233;87;
50;1468102233;137;
50;1468102233;187;
50;1468102233;237;
50;1468102233;287;
50;1468102233;337;
50;1468102233;387;
50;1468102233;437;
50;1468102233;487;
50;1468102233;537;
50;1468102233;587;
50;1468102233;637;
50;1468102233;687;
50;1468102233;737;
50;1468102233;787;
50;1468102233;837;
50;1468102233;887;
50;1468102233;937;
50;1468102233;987;
50;1468102234;37;
50;1468102234;87;
50;1468102234;137;
50;1468102234;187;
50;1468102234;237;
50;1468102234;287;
50;1468102234;337;
50;1468102234;387;
50;1468102234;437;
50;1468102234;487;
50;1468102234;537;
50;1468102234;587;
50;1468102234;637;
50;1468102234;687;
50;1468102234;737;
50;1468102234;787;
50;1468102234;837;
50;1468102234;887;
50;1468102234;937;
50;1468102234;987;
50;1468102235;37;
50;1468102235;87;
50;1468102235;137;
50;1468102235;187;
50;1468102235;237;
50;1468102235;287;
50;1468102235;337;
50;1468102235;387;
50;1468102235;437;
50;1468102235;487;
50;1468102235;537;
50;1468102235;587;
50;1468102235;637;
50;1468102235;687;
50;1468102235;737;
50;1468102235;787;
50;1468102235;837;
50;1468102235;887;
50;1468102235;937;
50;1468102235;987;
50;1468102236;37;
50;1468102236;87;
50;1468102236;137;
50;1468102236;187;
50;1468102236;237;
50;1468102236;287;
50;1468102236;337;
50;1468102236;387;
50;1468102236;437;
50;1468102236;487;
50;1468102236;537;
50;1468102236;587;
50;1468102236;637;
50;1468102236;687;
50;1468102236;737;
50;1468102236;787;
50;1468102236;837;
50;1468102236;887;
50;1468102236;937;
50;1468102236;987;
50;1468102237;37;
50;1468102237;87;
50;1468102237;137;
50;1468102237;187;
50;1468102237;237;
50;1468102237;287;
50;1468102237;337;
50;1468102237;387;
50;1468102237;437;
50;1468102237;487;
50;1468102237;537;
50;1468102237;587;
50;1468102237;637;
50;1468102237;687;
50;1468102237;737;
50;1468102237;787;
50;1468102237;837;
50;1468102237;887;
50;1468102237;937;
50;1468102237;987;
50;1468102238;37;
50;1468102238;87;
50;1468102238;137;
50;1468102238;187;
50;1468102238;237;
50;1468102238;287;
50;1468102238;337;
50;1468102238;387;
50;1468102238;437;
50;1468102238;487;
50;1468102238;537;
50;1468102238;587;
50;1468102238;637;
50;1468102238;687;
50;1468102238;737;
50;1468102238;787;
50;1468102238;837;
50;1468102238;887;
50;1468102238;937;
50;1468102238;987;
50;1468102239;37;
50;1468102239;87;
50;1468102239;137;
50;1468102239;187;
50;1468102239;237;
50;1468102239;287;
50;1468102239;337;
50;1468102239;387;
50;1468102239;437;
50;1468102239;487;
50;1468102239;537;
50;1468102239;587;
50;1468102239;637;
50;1468102239;687;
50;1468102239;737;
50;1468102239;787;
50;1468102239;837;
50;1468102239;887;
50;1468102239;937;
50;1468102239;987;
50;1468102240;37;
50;1468102240;87;
50;1468102240;137;
50;1468102240;187;
50;1468102240;237;
50;1468102240;287;
50;1468102240;337;
50;1468102240;387;
50;1468102240;437;
50;1468102240;487;
50;1468102240;537;
50;1468102240;587;
50;1468102240;637;
50;1468102240;687;
50;1468102240;737;
50;1468102240;787;
50;1468102240;837;
50;1468102240;887;
50;1468102240;937;
50;1468102240;987;
50;1468102241;37;
50;1468102241;87;
50;1468102241;137;
50;1468102241;187;
50;1468102241;237;
50;1468102241;287;
50;1468102241;337;
50;1468102241;387;
50;1468102241;437;
50;1468102241;487;
50;1468102241;537;
50;1468102241;587;
50;1468102241;637;
50;1468102241;687;
50;1468102241;737;
50;1468102241;787;
50;1468102241;837;
50;1468102241;887;
50;1468102241;937;
50;1468102241;987;
50;1468102242;37;
50;1468102242;87;
50;1468102242;137;
50;1468102242;187;
50;1468102242;237;
50;1468102242;287;
50;1468102242;337;
50;1468102242;387;
50;1468102242;437;
50;1468102242;487;
50;1468102242;537;
50;1468102242;587;
50;1468102242;637;
50;1468102242;687;
50;1468102242;737;
50;1468102242;787;
50;1468102242;837;
50;1468102242;887;
50;1468102242;937;
50;1468102242;987;
50;1468102243;37;
50;1468102243;87;
50;1468102243;137;
50;1468102243;187;
50;1468102243;237;
50;1468102243;287;
50;1468102243;337;
50;1468102243;387;
50;1468102243;437;
50;1468102243;487;
50;1468102243;537;
50;1468102243;587;
50;1468102243;637;
50;1468102243;687;
50;1468102243;737;
50;1468102243;787;
50;1468102243;837;
50;1468102243;887;
50;1468102243;937;
50;1468102243;987;
50;1468102244;37;
50;1468102244;87;
50;1468102244;137;
50;1468102244;187;
50;1468102244;237;
50;1468102244;287;
50;1468102244;337;
50;1468102244;387;
50;1468102244;437;
50;1468102244;487;
50;1468102244;537;
50;1468102244;587;
50;1468102244;637;
50;1468102244;687;
50;1468102244;737;
50;1468102244;787;
50;1468102244;837;
50;1468102244;887;
50;1468102244;937;
50;1468102244;987;
50;1468102245;37;
50;1468102245;87;
50;1468102245;137;
50;1468102245;187;
50;1468102245;237;
50;1468102245;287;
50;1468102245;337;
50;1468102245;387;
50;1468102245;437;
50;1468102245;487;
50;1468102245;537;
50;1468102245;587;
50;1468102245;637;
50;1468102245;687;
50;1468102245;737;
50;1468102245;787;
50;1468102245;837;
50;1468102245;887;
